COMPANY NAME,,,,[Fermat Commerce],,,,START DATE,26-02-2024,,,
CR NAME & CONTACT DETAILS,,,,Adityasinh Chauhan - 8780117395,,,,END DATE,26-02-2024,,,03-12-2018
,,,,Dhruv Savani - 7041657297,,,,,,,,
,,,,Meet Upadhyay - 8160115462,,,,,,,,
,,,,Mustafa - 9974363143,,,,,,,,
Sr. No.,Name of the student,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student Id,Email,Program,Contact No.,Whatsapp No.,Alternate No.,Skype Id
1,Xander Frost,26-02-2024,Completed,8:30 PM,9:30 PM,201501044,202001012@daiict.ac.in,BTech IcT,9876543210,9876543210,7860978978,live:.cid.c27318a5b42
3,Kaiya Patel,26-02-2024,Completed,4:00 PM,5:00 PM,201711078,202211045@daiict.ac.in,MTech ICT,9876543212,9876543212,9106676630,
5,Willow Cassidy,26-02-2024,Completed,11:00 PM,7:00 PM,201711011,,MTech ICT,9876543214,,,
6,Liam Wilson,26-02-2024,Completed,10:00 PM,11:00 PM,201501123,202211002@daiict.ac.in,Btech ICT ,9876543215,9876543215,,
7,Elara Nguyen,27-02-2024,Completed,11:00 PM,12:00 AM,201501412,,Btech ICT ,,,,
8,Jasper Reyes,28-02-2024,Completed,12:00 AM,1:00 AM,201501001,,Btech ICT ,,,,
9,Seraphina Clarke,29-02-2024,Completed,1:00 AM,2:00 AM,201501444,,Btech ICT ,,,,
10,Silas Santiago,01-03-2024,Completed,2:00 AM,3:00 AM,201501290,,Btech ICT ,,,,
