Interview Schedule - Round 1,,,,,,,,Sheet shared with students,,,,
,,,,,,,,,,,,
COMPANY NAME,,,,[Fermat Commerce],,,,START DATE,26-02-2024,,,
CR NAME & CONTACT DETAILS,,,,Adityasinh Chauhan - 8780117395,,,,END DATE,26-02-2024,,,03-12-2018
,,,,Dhruv Savani - 7041657297,,,,,,,,
,,,,Meet Upadhyay - 8160115462,,,,,,,,
,,,,Mustafa - 9974363143,,,,,,,,
Sr. No.,Name of the student,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student Id,Email,Program,Contact No.,Whatsapp No.,Alternate No.,Skype Id
1,Xander Frost,26-02-2024,Completed,8:30 PM,9:30 PM,201501168,201501168@daiict.ac.in,BTech IcT,9876543210,9876543210,7860978978,live:.cid.c56g54g5g6
2,Seraphina Clarke,29-02-2024,Completed,1:00 AM,2:00 AM,201501484,201501484@daiict.ac.in,Btech ICT ,6487639976,7887878753,9749367329,live:.cid.cu89f69rgfy
3,johny kal,03-03-2024,Completed,3:00 PM,4:00 PM,201503002,201503002@daiict.ac.in,BTech Mnc,9998366512,6351989290,9749326488,live:.cid.c27tf8ey9
4,johny sharma,04-03-2024,Completed,4:00 PM,5:00 PM,201504004,201504004@daiict.ac.in,BTech Evd,9938446512,6351989292,7599326488,live:.cid.c27th9egg7r
5,jignesh nayakan,08-03-2024,Completed,7:00 PM,8:00 PM,201518002,201518002@daiict.ac.in,M.Sc. DS,999256651,7551989269,9749356488,live:.cid.c276y45y6
