Black Rock,,,,[Fermat Commerce],,,,START DATE,26-02-2024,,,,,,,,,,,
CR NAME & CONTACT DETAILS,,,,Adityasinh Chauhan - 8780117395,,,,END DATE,26-02-2024,,,03-12-2018,,,,,,,,
,,,,Dhruv Savani - 7041657297,,,,,,,,,,,,,,,,
,,,,Meet Upadhyay - 8160115462,,,,,,,,,,,,,,,,
,,,,Mustafa - 9974363143,,,,,,,,,,,,,,,,
Sr. No.,Name of the student,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student Id,Email,Program,Contact No.,Whatsapp No.,Alternate No.,Skype Id
1,Ananya Rao,26-02-2024,Completed,8:30 AM,9:30 AM,201601054,201601054@daiict.ac.in,BTech IcT,9876543210,9876543210,7860978978,live:.cid.c27318ar4
2,Rohit Malhotra,26-02-2024,Completed,9:30 AM,10:30 AM,201601214,201601214@daiict.ac.in,B.Tech ICT,9876543211,9876543211,9979798500,live:.cid.c274t45b42
3,Preeti Sharma,26-02-2024,Completed,4:00 PM,5:00 PM,201811041,201811041@daiict.ac.in,MTech ICT,9876543212,9876543212,9106676630,live:.cid.c273t53t552
4,Vikas Patel,27-01-2024,Completed,2:00 PM,3:00 PM,201601078,201601078@daiict.ac.in,Btech ICT,9876543213,9876543213,6566533544,live:.cid.c27354gg42
5,Ishan Kapoor,26-02-2024,Completed,9:00 AM,9:40 AM,201811034,201811034@daiict.ac.in,MTech ICT,9876543214,4524655747,8753947984,live:.cid.c2735tgrgb42
6,Riya Gupta,26-02-2024,Completed,11:00 PM,11:30 PM,201811005,201811005@daiict.ac.in,Mtech ICT,9876543215,9876543215,7954379948,live:.cid.c275gtg5b42
7,Siddhi Deshpande,26-02-2024,Completed,11:30 PM,12:00 PM,201601458,201601458@daiict.ac.in,Btech ICT,9876543215,9876543215,7994937584,live:.cid.c275tt55b42
8,Kartik Sharma,26-02-2024,Completed,12:00 PM,12:30 PM,201601005,201601005@daiict.ac.in,Btech ICT,9876543215,9876543215,9798739474,live:.cid.c2t5t5tb42
9,Aisha Khan,26-02-2024,Completed,12:30 PM,1:00 PM,201811008,201811008@daiict.ac.in,Mtech ICT,9876543215,9876543215,7584399488,live:.cid.c275t5tgb42
10,Arvind Singh,26-02-2024,Completed,10:00 PM,11:00 PM,201603008,201603008@daiict.ac.in,Btech Mnc,9876543215,9876543215,8758349999,live:.cid.c275ygb42
11,Meera Chawla,26-02-2024,Completed,10:00 PM,11:00 PM,201604008,201604008@daiict.ac.in,Btech Evd,9876543215,9876543215,4758397959,live:.cid.c2731t5b42
12,Ravi Verma,26-02-2024,Completed,10:00 PM,11:00 PM,201811008,201811008@daiict.ac.in,Mtech ICT,9876543215,9876543215,9875939485,live:.cid.c275t5g55b42
13,Neha Jain,26-02-2024,Completed,10:00 PM,11:00 PM,201812008,201812008@daiict.ac.in,M.sc IT,9876543215,9876543215,8087573004,live:.cid.c2755g5b42
14,Sanjay Mishra,26-02-2024,Completed,10:00 PM,11:00 PM,201814009,201814009@daiict.ac.in,M.Des,9876543215,9876543215,8750370408,live:.cid.c2735tg55b42
15,Shreya Sharma,26-02-2024,Completed,10:00 PM,11:00 PM,201811009,201811009@daiict.ac.in,M.Sc DS,9876543215,9876543215,9954853434,live:.cid.c27315ggyy62
